Subsistema,Week of Data Escala de Tempo 1 CMO,Data do Incio da Semana Din Instante CMO,Data Escala de Tempo 1 CMO,Período Exibido CMO,Texto Data do Incio da Semana Din Instante CMO,Média Semanal
Sudeste/Centro-Oeste,02/17/2018,02/23/2018,02/17/2018,Semana Operativa, a ,197.74
Sudeste/Centro-Oeste,02/24/2018,03/02/2018,02/24/2018,Semana Operativa, a ,195.56
Sudeste/Centro-Oeste,03/03/2018,03/09/2018,03/03/2018,Semana Operativa, a ,222.56
Sudeste/Centro-Oeste,03/10/2018,03/16/2018,03/10/2018,Semana Operativa, a ,234.52
Sudeste/Centro-Oeste,03/17/2018,03/23/2018,03/17/2018,Semana Operativa, a ,218.23
Sudeste/Centro-Oeste,03/24/2018,03/30/2018,03/24/2018,Semana Operativa, a ,226.96
Sudeste/Centro-Oeste,03/31/2018,04/06/2018,03/31/2018,Semana Operativa, a ,17.71
Sudeste/Centro-Oeste,04/07/2018,04/13/2018,04/07/2018,Semana Operativa, a ,84.59
Sudeste/Centro-Oeste,04/14/2018,04/20/2018,04/14/2018,Semana Operativa, a ,119.18
Sudeste/Centro-Oeste,04/21/2018,04/27/2018,04/21/2018,Semana Operativa, a ,133.41
Sudeste/Centro-Oeste,04/28/2018,05/04/2018,04/28/2018,Semana Operativa, a ,219.51
Sudeste/Centro-Oeste,05/05/2018,05/11/2018,05/05/2018,Semana Operativa, a ,291.87
Sudeste/Centro-Oeste,05/12/2018,05/18/2018,05/12/2018,Semana Operativa, a ,306.37
Sudeste/Centro-Oeste,05/19/2018,05/25/2018,05/19/2018,Semana Operativa, a ,323.54
Sudeste/Centro-Oeste,05/26/2018,06/01/2018,05/26/2018,Semana Operativa, a ,411.43
Sudeste/Centro-Oeste,06/02/2018,06/08/2018,06/02/2018,Semana Operativa, a ,431.97
Sudeste/Centro-Oeste,06/09/2018,06/15/2018,06/09/2018,Semana Operativa, a ,466.08
Sudeste/Centro-Oeste,06/16/2018,06/22/2018,06/16/2018,Semana Operativa, a ,471.15
Sudeste/Centro-Oeste,06/23/2018,06/29/2018,06/23/2018,Semana Operativa, a ,515.05
Sudeste/Centro-Oeste,06/30/2018,07/06/2018,06/30/2018,Semana Operativa, a ,517.64
Sudeste/Centro-Oeste,07/07/2018,07/13/2018,07/07/2018,Semana Operativa, a ,543.75
Sudeste/Centro-Oeste,07/14/2018,07/20/2018,07/14/2018,Semana Operativa, a ,588.3
Sudeste/Centro-Oeste,07/21/2018,07/27/2018,07/21/2018,Semana Operativa, a ,603.83
Sudeste/Centro-Oeste,07/28/2018,08/03/2018,07/28/2018,Semana Operativa, a ,763.77
Sudeste/Centro-Oeste,08/04/2018,08/10/2018,08/04/2018,Semana Operativa, a ,784.9
Sudeste/Centro-Oeste,08/11/2018,08/17/2018,08/11/2018,Semana Operativa, a ,753.45
