MAX MIN 1 ENAS Simp 4,Measure Names,MIN MAX 1 ENAS Simp 4,Month of Data Escala de Tempo 1 ENAS Simp 4,Data do Incio da Semana Din Instante ENAS Simp 4,Data Escala de Tempo 1 ENAS Simp 4,Período Exibido ENAS,Subsistema,Texto Data Incio da Semana Din Instante ENAS,Selecione Tipo de ENAS Simp 4
11/7/2010,Selecione Tipo de ENAS Simp 4,10/26/2010,November 2010,,11/1/2010 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,28702
10/7/2010,Selecione Tipo de ENAS Simp 4,9/25/2010,October 2010,,10/1/2010 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,21654
9/7/2010,Selecione Tipo de ENAS Simp 4,8/26/2010,September 2010,,9/1/2010 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,13662
8/7/2010,Selecione Tipo de ENAS Simp 4,7/26/2010,August 2010,,8/1/2010 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,15682
7/7/2010,Selecione Tipo de ENAS Simp 4,6/25/2010,July 2010,,7/1/2010 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,20106
6/7/2010,Selecione Tipo de ENAS Simp 4,5/26/2010,June 2010,,6/1/2010 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,22872
5/7/2010,Selecione Tipo de ENAS Simp 4,4/25/2010,May 2010,,5/1/2010 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,28655
4/7/2010,Selecione Tipo de ENAS Simp 4,3/26/2010,April 2010,,4/1/2010 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,44618
3/7/2010,Selecione Tipo de ENAS Simp 4,2/23/2010,March 2010,,3/1/2010 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,52661
2/7/2010,Selecione Tipo de ENAS Simp 4,1/26/2010,February 2010,,2/1/2010 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,58325
1/7/2010,Selecione Tipo de ENAS Simp 4,12/26/2009,January 2010,,1/1/2010 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,69533
12/7/2009,Selecione Tipo de ENAS Simp 4,11/25/2009,December 2009,,12/1/2009 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,60641
